Atleta
""
Murillo Maciel Tolipan
Karla Farias da Silva
Pedro Paulo Coutinho Bonifácio
Camila de Almeida
Luiz Henrique Pantoja Flaga
Bruno Alexandre Fontes Oliveira
Leonardo Gonçalves Correia Pereira
Roger dos Santos Costa
Felippe Veleda Marinho
Bianca Carolina Almeida Manfili
Wesley Martins Rodrigues Silva
Gabriel Muniz da Silva
Xenon da Silva Cruz Ramos
Murilo Carvalho Soares
Alexandre dos Santos Nascimento
Rafael da Costa Pinto
Pedro Henrique Dalbone
Samuel Pereira Fernandes Maia
Kledson Wendell Pereira Lacerda
Camille Idalina de Carvalho Gonçalves
João Victor dos Santos Reis
Daniel Vivório de Castro Maia
Joyce Pinheiro Antônio
Danilo Santos Bernardo
Samuel Pedro Alves Silva
Lucas Centola e Silva
Miguel Melo de Carvalho Vaz
Pedro Augusto de Vargas Berto do de Souza
Hugo Luiz Correa
Robson Ferreira do Nascimento Lourenço
Bryan Costa da Silva
Gilberto Guimarães Costa Marques
Fábio Otávio Cordeiro de Azevedo
Carlos César da Silva Junior
Maiki de Souza Ponciano de Negreiros
Felipe Cataldi Motta
Augusto Kath Cabral Silva
Michael Barbosa de Souza do Nascimento
Bruno do Amaral Ozolins
Alan Soares
Matheus Gonçalves de Alcantara
Pedro Augusto Perine Junior
Wladimir Ferreira Lima
Tiago Binato Neves
Rafael Fragale de Mello
Ana Letícia Delanote Gonçalves
Maria Clara Ribeiro Martins Pinto
Kauê Marcelo Domingos de Oliveira
Júlia Oliveira Santana
Emanuel Batista Corveto
Daniel Luiz Nunes Teixeira
João Vitor de Almeida
Ricardo de Freitas Nascimento
David Augusto Santos Brito
Carlos Alberto Bernardo Pinheiro
Erbis de Oliveira Nascimento Viana
Angélica de Araujo Madeiro
Bruno Duarte Rodrigues
Pedro Mizrahi
João Pedro de Moraes Almeida
Samuel Farias da Silva Catarino
Thiago Provenza de Miranda Rohlfs
Luan José Dias dos Santos
Graciliano da Silva de Oliveira
Laryssa Paixão Macedo
Helerson Marcelino do Carmo
Fabrício Mirim de Oliveira Figueiredo
Fernando Carlos Medeiros
Felipe Neuser Imbuzeiro
Anderson Torres de Oliveira
Marcos Antônio Almeida Santos
Christyan do Nascimento Martins
Eduardo Monteiro Soares
Cauê Dias do Nascimento
Daniel Moreira de Oliveira Santos
Lucas Agostinho da Costa
Lucas Costa de Oliveira Nunes
Erick dos Anjos Ramos
Allan Santos Valentino
Karoline Moreira Duffrayer
Erick Cristian Brito Pereira
Christhopher Ferreira Campos de Moura
Locan de Oliveira Paes Leme
Igor Mesquita Rodrigues
Mário Vinícius de Souza Moreira
Leandro Macedo Leônidas
Luiz Guilherme Silva de Souza
Bernardo Dourado Bordeaux Rego Machado
Gabriel Victor Soares Nogueira da Silva
Victor Teles Araújo Speorin
Vinicius Alexandre Leopoldino da Silva Filho
Júlio César Barros de Araújo
André Baldez Mendes Antunes
Patrick Corrêa Barcelos
Gabriel Dante Cerqueira Linhares
Lucas Coutinho dos Anjos
João Pedro Alves dos Santos
Bernardo Gomes Pereira
Pedro Henrique de Oliveira Pereira
João Roberto Costa Junior
Lucas Massi Arouca
Ana Julia Feitosa Santos
Iago Fortini Guedes Junqueira
Rodrigo da Silva Assucena
Arthur Teixeira Pitthan Espíndola
Caius Rolim Mercadante
Rômulo Gabriel Moreira Nascimento
Gleison Vinicius Zarnowski dos Santos
Diego Furtado
Mário Cezar Ferreira
Wesley Emanuel Santos Alves
Fábio Rodrigo Siqueira da Costa
