Atleta
BREDER ANA CAROLINA
GUILHERME ARAUJO
LUCAS SAATKAMP
GUILHERME EMINA
MATHEUS CUNDA
HENRIQUE ADAMI
RUYTHER TESOURA
ALAN PATRICK ARAUJO
CANDIDO GABRIELA
GABRIEL VACCARI
MIGUEL CASTRO
JOÃO RAFAEL FERREIRA
GARAY FERNANDA
ARTHUR BENTO
PAVAO MICHELLE
ALVES LARYSSA
FABIANO JERONYMO
MOTA ERIKA
MATHEUS OLIVEIRA
LEANDRO TEIXEIRA SANTOS
CESAR ARAUJO
LEONARDO KIHARA
OLIVEIRA SUELLE
BARBOSA KARINA
PAPINI SILVANA
CRISTIANO TORELLI TAVARES
MARCOS JUNIOR
SOUZA ANA CRISTINA
THIERY NASCIMENTO
GABRIEL ARMANELLI
TOMÉ FERNANDA
MAGIARI GIULIA
DYANN RODRIGUES
DANIEL PINHO
BLUM MARIANA
JULIANA CARRIJO
CLEMENTE KASIELY
BRUNO BELLO
MATHEUS GONCALVES
FRANCO JULIA
EMILIANO LUANA
FILIPE BARBOZA
CASELLATTO PEDRO
ALCANTARA BARBARA
MORAES THAYNA
SOUZA ALAN
RAINIER SCHMIDT
CAIXETA TANDARA
GABRIEL CANDIDO
MELQUISEDEQUE PINTO
GUSTAVO CARDOSO
NATHAN KRUPP
EDSON PAIXAO
SARA APARECIDA
LUIZ ANTONIO DOS SANTOS
JONATAS CARDOSO
KATIA LARISSA SILVA
GONZAGA WELISSA
FELIPE LEME CUNDIEV
MALACHIAS KENYA
KELVI SOUZA
ISAC SANTOS
CRISTINA ANA
LEONARDO SILVA
SILVA MAYHARA
VICENZO SERRETTI
ROMULO SILVA
NICOLAS LAZO
GABRIEL BERTOLINI
DANIELSKI NATALIA
RAPHAEL FONSECA
BRITO KIMBERLLY
FARINEA NATASHA
GUILHERME RECH
RENAN SALTON
IALISSON AMORIM
SCHERER LETICIA
VIEZEL LORENA
MATHEUS SILVA
CASTIGLIONE YAEL
SILVA ISTEFANI
MATHEUS PROCÓPIO MOURA
GOMES LETICIA
LEONARDO ANDRADE
OLIVEIRA DANIELE
AMARAL MARCELLA
GUSTAVO DE BRITO
SILVA JUCIELY
RAHIMOVA POLINA
GAMA NANDYALA
GUSTAVO ROMANI
FACUNDO CONTE
MARCOS VINICIUS DA SILVA
YADRIAN ESCOBAR
FELIPE ROQUE
FURLANETTO GABRIELA
LUAN FONSECA WAGNER
ROGERIO BATISTA
BARBOSA CAMILA
CARBORNAR CIBELE
MONTEIRO NATALIA
VINICIUS SILVEIRA
MICHEL SARAIVA
HIAGO GARCHET
MAIQUE NASCIMENTO
PAVAO MONIQUE
SILVA NICOLOSI LEIA
DEIVID SILVEIRA
BERNARDO WESTAERMANN
HIGOR DOS SANTOS
BRAIT CAMILA
ELÓI MARIA LUIZA
RAMON SANTOS DUARTE
OTÁVIO BRASIL
LEÃO MARA
SANTOS CARLA
RHENDRICK ROSA
LUCAS FIGUEIREDO
RAFAEL BAIRROS
YGOR DUARTE
VITOR GELLI DIAS
GROSSI CAROLINA
LEITE CAROLINA
