Membro
LUIZ CARLOS RODRIGUES DA SILVA
SOPHIA DA CUNHA DANTAS
GUILHERME MAGNANI HAGE
PAULINA ROGERIO DE SOUZA
MARTOS ANTONIO SOARES NETO
SANDRA SOARES RIBEIRO DE LIMA
LARISSA BESEN
CAROLINA GODOY DONATIELLO
NAIARA FELIX
LARISSA FERREIRA GONCALVES PENNA E FORTES
PEDRO MARCON GONCALVES
LUKAS FELIPE BERGMANN
MIKAELLA DA SILVA COSTA
GABRIELA CARNEIRO DE SOUZA
MIGUEL ANGEL LOPEZ CASTRO
LAÍS ZURLI BITTENCOURT VASQUES
LEANDRO TEIXEIRA DOS SANTOS
VIVIANE SANDRA BRAUN
LORENA GIOVANA VIEZEL
VIVIAN CAROLINE MOREIRA RODRIGUES
MELQUISEDEQUE VIEIRA PINTO
LANNA GABRIELLA GOMES MACHADO
CAIO PEREIRA MEIRA
ANA CRISTINA VILELA PORTO
LUCAS EDUARDO HENNING
LUCAIAN FERNANDES PEREIRA
LIVIA DOS SANTOS GOMES LIMA
ROGERIO PUREZA PORTELA
MONIQUE MARINHO PAVÃO
ARIADNE CRISTINE RAMOS SANTOS
HIAGO VINICIUS BUENO BERNARDES
GEOVANE KUHNEN
VITORIA MALLMANN PARISE
SONALY MONTEIRO CIDRAO
LUCAS LIMA DONATO DA SILVA
WILIAN GABRIEL DOARDO
YASMIN BRASIL ALVES
TIAGO GATIBONI WESZ
LUCAS OISHI NASCIMENTO
ISIS BORTOLASO SIMONETTI
JÓ MAURÍCIO DA SILVA NETO
JOAO VITOR DOS SANTOS LIMA
GUILHERME NOVAES PINTO FERREIRA
DIEGO FREIRE ARIAS
GIOVANNA OLIVA DE OLIVEIRA
ERICA MOTTA LIMA
THIAGO EMILIO MOREIRA MAZZONI
GABRIELLE EHL
MARIA EDUARDA DAVID
KELVI GIOVANI DE CAMARGO SOUZA
GABRIEL DRUMOND ARMANELLI TELLES
CALLIE JANE SCHWARZENBACH
LETICIA MAGNANI HAGE
MILLA CHRISTIE BARBOSA CAMURCA
WALLAF WESLEY DE OLIVEIRA
DAIANA KRISTAL LOPEZ
ANA LUIZA BENTO
RODRIGO SOARES RIBEIRO RODRIGUES
MARCOS PINHEIRO MIRANDA
GABRIEL VACCARI KAVALKIEVICZ
HENRIQUE DANTAS NOBREGA HONORATO
AMANDA RODRIGUES SEHN
LEONARDO FERREIRA DO NASCIMENTO
GEOVANNA VITORIA CAETANO RODRIGUES
LEIA HENRIQUE DA SILVA NICOLOSI
DANIELLE RODRIGUES LINS
KENYA MALACHIAS
RALWAN WILLIAM DE CASTRO
LUCAS PROVENZANO JOAO DE DEUS
ERICK LUIZ SOARES HERCIO
CAROLINE DE OLIVEIRA SAAD GATTAZ
VICTOR BABUGIA ARAUJO
GUSTAVO CAMPELO NOGUEIRA
MAURICIO BALLUTA CABRAL
PAULO DO REGO BARROS JÚNIOR
WILLIAM CARVALHO DA SILVA
ANA CECILIA APARECIDA LOPES
MATHEUS ALEJANDRO HOFFMANN DA CUNDA
ALEXSANDRA UZELAC
BRUNO HENRIQUE ALVES
ALVARO ARAUJO SILVA
PEDRO BELIZARIO ROCHA
MAIQUE REIS NASCIMENTO
ANDERSON DE OLIVEIRA RODRIGUES
HENRIQUE VINICIUS GUEDES
SOFYA KUZNETSOVA
LARA NASCIMENTO DE SOUZA
GUILHERME RECH
CLARA OLIVEIRA RODRIGUES
MATHEUS BISPO DOS SANTOS
MATIAS FERNANDO BANDA ALVAREZ
RAFAEL BATISTA OBRUSNIK
SILVANA FERNANDES PAPINI
LETICIA ARAUJO DE ALMEIDA HOLANDA MOURA
FILIPE AUGUSTO FACCION FERRAZ
